epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2635,1.37368,2.79393,1.59953,0.00389,1,0.63357,0.26402,0.84286,3.20819,1.2226,8e-05,8e-05,8e-05
2,67.4042,0.93282,2.19093,1.29817,0.00389,1,0.995,0.85125,0.48834,2.87005,0.84531,0.000176436,0.000176436,0.000176436
3,102.934,0.88166,1.3549,1.22307,0.00606,1,0.995,0.83157,0.67957,2.67125,0.99623,0.000268912,0.000268912,0.000268912
4,139.412,0.85627,1.23974,1.15203,0.00389,1,0.953,0.76894,0.73557,2.78398,1.13301,0.000357428,0.000357428,0.000357428
5,179.336,0.7017,1.24251,1.11203,1,0.93597,0.995,0.87138,0.63729,2.38079,1.03709,0.000441984,0.000441984,0.000441984
6,215.917,0.78785,1.17239,1.1123,1,0.9488,0.995,0.88517,0.66128,2.10167,0.98994,0.00052258,0.00052258,0.00052258
7,255.415,0.82538,1.13219,1.17552,0.98523,0.85714,0.9775,0.87238,0.63993,1.77704,0.99083,0.000599216,0.000599216,0.000599216
8,293.154,0.82349,1.09966,1.13789,0.98759,0.85714,0.93667,0.75173,0.67444,2.28249,0.99977,0.000671892,0.000671892,0.000671892
9,324.566,0.71968,0.92073,1.05062,0.97465,0.85714,0.96389,0.65786,1.01036,2.03241,1.40069,0.000740608,0.000740608,0.000740608
10,379.237,0.78453,1.03454,1.11521,0.97295,1,0.995,0.71658,0.99488,2.02286,1.56356,0.000805364,0.000805364,0.000805364
11,399.538,0.75616,0.94884,1.11361,0.96657,1,0.995,0.81845,0.79549,1.87029,1.16774,0.00086616,0.00086616,0.00086616
12,420.678,0.78926,1.02981,1.17902,1,0.99067,0.995,0.7202,0.89295,1.70855,1.30393,0.000922996,0.000922996,0.000922996
13,441.517,0.74437,0.9667,1.12825,0.99511,0.85714,0.94409,0.56452,1.39687,2.13618,1.87469,0.000975872,0.000975872,0.000975872
14,461.839,0.74902,0.99221,1.13462,1,0.81245,0.93667,0.61068,1.10977,2.48062,1.35045,0.00102479,0.00102479,0.00102479
15,480.719,0.78948,0.95738,1.16225,0.41481,0.30687,0.34038,0.11104,3.29849,4.2288,3.46665,0.00106974,0.00106974,0.00106974
16,499.553,0.80048,1.00153,1.18643,1,0.70319,0.995,0.77393,1.03372,2.18395,1.35648,0.00111074,0.00111074,0.00111074
17,518.515,0.72057,0.89285,1.0874,1,0.97198,0.995,0.74958,0.834,1.36478,1.20553,0.00114778,0.00114778,0.00114778
18,537.535,0.77699,0.90941,1.12077,0.9881,1,0.995,0.82736,0.66115,1.27417,1.02926,0.00118085,0.00118085,0.00118085
19,557.04,0.80524,0.90166,1.10402,0.99019,1,0.995,0.8371,0.61037,1.10882,0.99257,0.00120997,0.00120997,0.00120997
20,576.016,0.74626,0.90818,1.04838,0.86458,1,0.9775,0.80383,0.75128,1.38014,1.16899,0.00123512,0.00123512,0.00123512
21,595.166,0.74107,0.83147,1.09479,0.75864,1,0.94389,0.69394,0.85455,1.50451,1.27391,0.001208,0.001208,0.001208
22,615.69,0.73303,0.85838,1.11286,1,0.98263,0.995,0.68576,0.8169,1.43611,1.1703,0.0011684,0.0011684,0.0011684
23,638.915,0.75186,0.80795,1.10319,0.98414,1,0.995,0.82176,0.75923,1.26742,1.14845,0.0011288,0.0011288,0.0011288
24,658.922,0.74741,0.84212,1.15731,0.98425,1,0.995,0.74878,1.04393,1.36254,1.38806,0.0010892,0.0010892,0.0010892
25,678.291,0.77179,0.86876,1.15886,0.97314,1,0.995,0.70143,1.13051,1.50067,1.8059,0.0010496,0.0010496,0.0010496
26,701.438,0.74411,0.8574,1.14127,0.98431,1,0.995,0.67226,1.09281,1.52888,1.67788,0.00101,0.00101,0.00101
27,741.799,0.67725,0.7314,1.0644,0.98555,1,0.995,0.76396,0.93438,1.0628,1.40383,0.0009704,0.0009704,0.0009704
28,791.36,0.71877,0.77563,1.09699,0.99253,1,0.995,0.85225,0.62573,0.87977,1.03801,0.0009308,0.0009308,0.0009308
29,828.952,0.75979,0.72956,1.10224,0.99248,1,0.995,0.8629,0.58614,0.86793,1.00889,0.0008912,0.0008912,0.0008912
30,866.185,0.69721,0.75184,1.05113,0.99221,1,0.995,0.88043,0.63839,0.95407,0.98868,0.0008516,0.0008516,0.0008516
31,901.122,0.6839,0.71234,1.05206,0.99119,1,0.995,0.85347,0.64537,1.06532,1.03821,0.000812,0.000812,0.000812
32,935.65,0.67636,0.70205,1.07511,0.95358,1,0.995,0.70999,0.77628,1.3821,1.18532,0.0007724,0.0007724,0.0007724
33,969.521,0.62949,0.70947,1.04375,0.87488,0.99901,0.92375,0.57312,0.78457,1.65003,1.18662,0.0007328,0.0007328,0.0007328
34,1000.21,0.61729,0.6414,1.05914,0.94344,1,0.995,0.60125,0.80783,1.66203,1.21921,0.0006932,0.0006932,0.0006932
35,1029.39,0.60099,0.64459,1.03793,0.92823,1,0.995,0.73265,0.75183,1.30055,1.16715,0.0006536,0.0006536,0.0006536
36,1062.61,0.64762,0.60097,1.05049,0.99214,1,0.995,0.8654,0.62525,0.87695,1.04077,0.000614,0.000614,0.000614
37,1122.21,0.69945,0.6219,1.04449,0.99225,1,0.995,0.8955,0.59631,0.88635,1.02505,0.0005744,0.0005744,0.0005744
38,1168.27,0.65083,0.60601,1.03357,0.99221,1,0.995,0.89915,0.58631,0.86488,1.03182,0.0005348,0.0005348,0.0005348
39,1215.28,0.64723,0.60151,1.0697,0.99288,1,0.995,0.89794,0.57978,0.81243,1.02663,0.0004952,0.0004952,0.0004952
40,1261.58,0.65093,0.60547,1.04532,0.99305,1,0.995,0.85184,0.63045,0.76533,0.96752,0.0004556,0.0004556,0.0004556
41,1309.06,0.62874,1.10643,1.13038,0.99389,1,0.995,0.8559,0.62553,0.7251,0.88765,0.000416,0.000416,0.000416
42,1353.57,0.53411,0.87595,1.04327,0.99346,1,0.995,0.8594,0.60178,0.77245,0.85818,0.0003764,0.0003764,0.0003764
43,1399.12,0.48562,0.76239,0.99223,0.9936,1,0.995,0.87004,0.56647,0.83704,0.82819,0.0003368,0.0003368,0.0003368
44,2322.22,0.49295,0.81703,1.05098,0.9935,1,0.995,0.92638,0.44388,0.87643,0.77446,0.0002972,0.0002972,0.0002972
45,2371.23,0.49578,0.74852,0.96861,0.99268,1,0.995,0.93462,0.39632,0.82385,0.768,0.0002576,0.0002576,0.0002576
46,2416.57,0.47712,0.78246,1.009,0.99277,1,0.995,0.93462,0.38189,0.79154,0.77386,0.000218,0.000218,0.000218
47,2459.85,0.52706,0.76198,1.08598,0.99291,1,0.995,0.93462,0.38279,0.75447,0.77507,0.0001784,0.0001784,0.0001784
48,2501.03,0.48997,0.7316,1.00393,0.99329,1,0.995,0.93462,0.39841,0.70506,0.7796,0.0001388,0.0001388,0.0001388
49,2544.36,0.48079,0.67918,1.01442,0.99328,1,0.995,0.94661,0.40119,0.69242,0.77168,9.92e-05,9.92e-05,9.92e-05
50,2586.5,0.44105,0.66987,0.97205,0.99324,1,0.995,0.93152,0.40531,0.68805,0.76883,5.96e-05,5.96e-05,5.96e-05
